instnm,city,stabbr,preddeg,region,locale,adm_rate,actcmmid,ugds,costt4_a,costt4_p,tuitionfee_in,tuitionfee_out,debt_mdn,grad_debt_mdn,female
John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,Ballston Spa,NY,Certificate Degree,Mid East,Suburb: Small,NA,NA,23,NA,20528,NA,NA,6333,7199,NA
Yeshiva of Machzikai Hadas,Brooklyn,NY,Bachelor Degree,Mid East,City: Large,0.8163,NA,413,24055,NA,9200,9200,NA,NA,NA
Aveda Institute-Columbus,Columbus,OH,Certificate Degree,Great Lakes,City: Large,NA,NA,267,NA,23629,NA,NA,8862,9833,0.945371775
Paul Mitchell the School-Cincinnati,Cincinnati,OH,Certificate Degree,Great Lakes,Suburb: Large,NA,NA,237,NA,21167,NA,NA,9833,13578.5,0.943005181
Hands on Therapy,Mesquite,TX,Certificate Degree,Southwest,Suburb: Large,NA,NA,43,NA,22028,NA,NA,7917,7917,0.812903226
MediaTech Institute-Dallas,Dallas,TX,Certificate Degree,Southwest,Suburb: Large,NA,NA,162,NA,22507,NA,NA,12125,14750,0.16
PCCenter,Farmers Branch,TX,Certificate Degree,Southwest,Suburb: Large,NA,NA,24,NA,27582,NA,NA,9500,NA,0.666666667
Aveda Institute-San Antonio,San Antonio,TX,Certificate Degree,Southwest,City: Large,NA,NA,183,NA,16118,NA,NA,7914,9832,0.954407295
Skin Science Institute,Sandy,UT,Certificate Degree,Rocky Mountains,Suburb: Large,NA,NA,143,NA,20717,NA,NA,6333,6961,NA
Pacific Northwest University of Health Sciences,Yakima,WA,Entirely Graduate Degree,Far West,Suburb: Midsize,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Chicago School of Professional Psychology at Irvine,Irvine,CA,Entirely Graduate Degree,Far West,City: Large,NA,NA,NA,NA,NA,NA,NA,4750,NA,0.832512315
Fortis College-Dothan,Dothan,AL,Certificate Degree,Southeast,City: Small,NA,NA,189,NA,19236,NA,NA,9500,9500,0.785493827
Fortis Institute-Pensacola,Pensacola,FL,Certificate Degree,Southeast,City: Small,NA,NA,564,30272,NA,14420,14420,9424,9500,0.806226956
Fortis College-Montgomery,Montgomery,AL,Certificate Degree,Southeast,City: Midsize,NA,NA,311,NA,23111,NA,NA,9424,9500,0.806226956
Woodland Community College,Woodland,CA,Associate Degree,Far West,Suburb: Small,NA,NA,2891,11842,NA,1124,6284,4625,NA,0.637174721
Dorsey Business Schools-Farmington Hills,Farmington Hills,MI,Certificate Degree,Great Lakes,City: Small,NA,NA,0,31134,NA,20472,20472,9500,12986,0.803653973
Dorsey Business Schools-Roseville Culinary Academy,Roseville,MI,Certificate Degree,Great Lakes,Suburb: Large,NA,NA,113,34448,NA,21613,21613,9500,12986,0.803653973
Vatterott College-Appling Farms,Memphis,TN,Associate Degree,Southeast,City: Large,NA,NA,255,24307,NA,11093,11093,14458,20000,0.482319661
Fortis Institute-Birmingham,Birmingham,AL,Certificate Degree,Southeast,City: Midsize,NA,NA,451,32067,NA,14220,14220,9500,11362,0.747160286
Miller-Motte College-Greenville,Greenville,NC,Certificate Degree,Southeast,City: Small,NA,NA,135,26304,NA,11165,11165,12500,26472,0.812195122
The Chicago School of Professional Psychology at Los Angeles,Los Angeles,CA,Bachelor Degree,Far West,City: Large,0.3624,NA,138,NA,NA,13530,13530,4750,NA,0.832512315
Cardiac and Vascular Institute of Ultrasound,Mobile,AL,Certificate Degree,Southeast,City: Midsize,NA,NA,32,NA,NA,NA,NA,19160,19160,NA
Virginia College-Jacksonville,Jacksonville,FL,Certificate Degree,Southeast,City: Large,NA,NA,697,NA,34469,NA,NA,11438,16710,0.780756537
Studio Academy of Beauty,Chandler,AZ,Certificate Degree,Southwest,Suburb: Large,NA,NA,405,NA,19969,NA,NA,6333,6333,0.974564926
California Nurses Educational Institute,Palm Springs,CA,Certificate Degree,Far West,Suburb: Large,NA,NA,242,NA,19730,NA,NA,10614,12108,0.807860262
