instnm,city,stabbr,preddeg,region,locale,adm_rate,actcmmid,ugds,costt4_a,costt4_p,tuitionfee_in,tuitionfee_out,debt_mdn,grad_debt_mdn,female
North Central Kansas Technical College,Beloit,KS,Certificate Degree,Plains,Rural: Fringe,NA,NA,572,15920,NA,6019,6019,8750,9500,0.361247948
Northwest Kansas Technical College,Goodland,KS,Certificate Degree,Plains,Town: Remote,NA,NA,395,NA,15827,NA,NA,6983,12000,0.231404959
Ottawa University-Ottawa,Ottawa,KS,Bachelor Degree,Plains,Town: Distant,0.8045,20,670,40873,NA,28550,28550,12584,21257,0.62745098
Ottawa University-Kansas City,Overland Park,KS,Bachelor Degree,Plains,City: Midsize,NA,NA,334,NA,NA,NA,NA,12584,21257,0.62745098
Pittsburg State University,Pittsburg,KS,Bachelor Degree,Plains,Town: Distant,0.8721,22,5340,17748,NA,7100,18152,13500,20000,0.511989903
Pratt Community College,Pratt,KS,Certificate Degree,Plains,Rural: Fringe,NA,NA,651,12867,NA,3392,3912,5500,7832,0.490740741
University of Saint Mary,Leavenworth,KS,Bachelor Degree,Plains,Town: Fringe,0.4915,22,744,38195,NA,27720,27720,15000,22457,0.524752475
Salina Area Technical College,Salina,KS,Certificate Degree,Plains,Town: Remote,NA,NA,243,10948,NA,7080,7080,5500,5500,0.393162393
Seward County Community College,Liberal,KS,Certificate Degree,Plains,Town: Remote,NA,NA,1528,10516,NA,3008,4224,3612.5,5700,0.559502664
Southwestern College,Winfield,KS,Bachelor Degree,Plains,Town: Distant,0.9688,21,1096,40741,NA,28750,28750,15775,25975,0.462643678
Sterling College,Sterling,KS,Bachelor Degree,Plains,Rural: Distant,0.5247,20,612,35102,NA,24985,24985,14000,23973,0.373333333
Tabor College,Hillsboro,KS,Bachelor Degree,Plains,Town: Remote,0.5318,21,632,41520,NA,27220,27220,15000,23250,0.451690821
Washburn University,Topeka,KS,Bachelor Degree,Plains,City: Midsize,NA,NA,4926,18777,NA,7978,17918,12327,17069.5,0.591224863
Wichita State University-Campus of Applied Sciences and Technology,Wichita,KS,Certificate Degree,Plains,Rural: Fringe,NA,NA,2388,16663,NA,7323,8735,6850,9500,0.542087542
Wichita State University,Wichita,KS,Bachelor Degree,Plains,City: Large,0.938,24,10970,18924,NA,8432,17390,14000,21000,0.593413979
Wichita Technical Institute,Wichita,KS,Certificate Degree,Plains,City: Large,NA,NA,938,NA,24021,NA,NA,12000,16500,0.48911353
Academy College,Bloomington,MN,Certificate Degree,Plains,City: Small,NA,NA,56,NA,NA,17661,17661,18711,24216,0.298245614
Alexandria Technical & Community College,Alexandria,MN,Associate Degree,Plains,Town: Remote,NA,NA,1496,17933,NA,5410,5410,8250.5,11750,0.45410628
American Indian OIC Inc,Minneapolis,MN,Certificate Degree,Plains,City: Large,NA,NA,36,NA,14776,NA,NA,NA,NA,0.557142857
